CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 15-64,Population 65+,Population Total,Tourism Inbound,Tourism Outbound,Birth Rate,Internet Usage,Population 0-14,Population Urban
1349.0,26.0,7173.0,4310090791.0,0.062,15.0,0.1075,0.19,49.0,46.0,0.0,0.53,0.032,18275618.0,74000000.0,122000000.0,0.044,0.0,0.438,0.291
1643.0,26.0,978.0,3908645566.0,0.061,126.0,0.049,0.153,57.0,53.0,0.0,0.562,0.033,1897953.0,193000000.0,86000000.0,0.032,0.0,0.405,0.324
796.0,26.0,14338.0,1798374533.0,0.064,10.0,0.101,0.12,51.0,51.0,0.0,0.495,0.025,10989815.0,23000000.0,32000000.0,0.053,0.0,0.479,0.162
79182.0,26.0,46913.625,46385996027.0,0.046,17.0,0.1075,0.213,47.0,46.0,0.0,0.537,0.028,49034725.375,186000000.0,610000000.0,0.043,0.0,0.435,0.348
686.0,26.0,14338.0,1734938190.0,0.042,9.0,0.1075,0.17,49.0,47.0,0.0,0.505,0.03,8395577.0,27000000.0,35000000.0,0.041,0.0,0.466,0.149
48.0,26.0,14338.0,76709305.0,0.089,46.0,0.058,0.22649999999999998,65.0,62.0,0.5,0.52,0.04,139428.0,9900000.0,2200000.0,0.036,0.0,0.44,0.534
3938.0,26.0,2398.0,4679604922.0,0.046,22.0,0.069,0.12,59.0,56.0,0.0,0.517,0.032,9861679.0,152000000.0,125000000.0,0.04,0.0,0.451,0.403
565.0,26.0,14338.0,614877971.0,0.048,371.0,0.012,0.107,75.0,69.0,0.3,0.637,0.081,81131.0,225000000.0,44000000.0,0.019,0.1,0.282,0.501
425.0,26.0,14338.0,635874002.0,0.118,28.0,0.1075,0.22649999999999998,44.0,43.0,0.0,0.546,0.025,4139757.0,10000000.0,35000000.0,0.044,0.0,0.43,0.356
517.0,26.0,14338.0,15079752557.5,0.061,193.0,0.105,0.12,52.0,49.0,0.0,0.499,0.029,7385416.0,688500000.0,456000000.0,0.049,0.0,0.472,0.332
103049.5,26.0,46913.625,132877640158.0,0.083,246.0,0.052,0.145,58.0,54.0,0.2,0.636,0.034,44000000.0,3338000000.0,2684000000.0,0.024,0.1,0.33,0.569
8529.0,26.0,14338.0,15079752557.5,0.061,193.0,0.1075,0.12,50.0,48.0,0.5,0.523,0.03,6652984.0,688500000.0,456000000.0,0.043,0.1,0.447,0.165
5534.0,26.0,13340.0,12257299163.0,0.034,15.0,0.069,0.12,60.0,56.0,0.0,0.533,0.03,27729798.0,5000000.0,55000000.0,0.04,0.0,0.437,0.325
1188.0,26.0,14338.0,1524490159.0,0.053,75.0,0.08,0.14,49.0,48.0,0.0,0.524,0.029,1063715.0,24000000.0,32000000.0,0.033,0.0,0.446,0.227
2651.0,26.0,13390.0,10185786171.0,0.034,10.0,0.08,0.216,51.0,49.0,0.0,0.523,0.029,34020512.0,381000000.0,369000000.0,0.042,0.0,0.448,0.223
1357.0,26.0,2111.0,1294250280.0,0.053,14.0,0.077,0.12,54.0,53.0,0.0,0.529,0.029,4864753.0,11000000.0,15000000.0,0.039,0.0,0.442,0.329
19923.0,26.0,7306.0,21473188882.0,0.054,123.0,0.026,0.12,75.0,71.0,0.0,0.641,0.06,9563500.0,1977000000.0,310000000.0,0.017,0.0,0.298,0.634
1533.0,26.0,14338.0,6193246632.0,0.066,16.0,0.089,0.22649999999999998,48.0,48.0,0.0,0.481,0.027,24275641.0,165000000.0,456000000.0,0.048,0.0,0.493,0.121
1819.0,26.0,6244.0,3253551750.0,0.056,18.0,0.1,0.22649999999999998,44.0,43.0,0.0,0.515,0.027,10100981.0,67000000.0,102000000.0,0.045,0.0,0.457,0.348
13887.0,26.0,9865.0,6689957610.0,0.061,193.0,0.061,0.22649999999999998,44.0,44.0,0.0,0.545,0.034,12503652.0,125000000.0,456000000.0,0.032,0.0,0.422,0.338
781.0,26.0,14338.0,15079752557.5,0.061,193.0,0.095,0.12,56.0,54.0,0.5,0.485,0.02,20595360.0,688500000.0,456000000.0,0.05,0.1,0.495,0.213
3465.0,26.0,2015.0,1911563665.0,0.063,39.0,0.027,0.22649999999999998,75.0,68.0,0.0,0.641,0.1,3076098.0,52000000.0,56000000.0,0.013,0.0,0.259,0.647
29508.0,26.0,11296.0,5272617196.0,0.047,30.0,0.061,0.197,70.0,64.0,0.1,0.633,0.056,8048600.0,68000000.0,138000000.0,0.015,0.0,0.311,0.514
27869.0,26.0,18591.0,47124925462.0,0.028,10.0,0.064,0.155,66.0,65.0,0.0,0.59,0.041,49034725.375,50000000.0,471000000.0,0.027,0.0,0.37,0.236
400.0,26.0,14338.0,439158233.0,0.067,52.0,0.059,0.16,60.0,60.0,0.5,0.556,0.038,564350.0,10000000.0,456000000.0,0.028,0.0,0.406,0.254
6527.0,26.0,2385.0,6001153318.0,0.03,543.0,0.008,0.055,78.0,74.0,0.3,0.668,0.028,331801.0,688500000.0,456000000.0,0.023,0.1,0.304,0.712
1977.0,26.0,3412.0,3654031716.0,0.063,19.0,0.082,0.12,65.0,59.0,0.0,0.554,0.038,12222871.0,345000000.0,52000000.0,0.028,0.0,0.408,0.186
103049.5,26.0,46913.625,221375013581.25,0.046,43.0,0.03,0.059,74.0,71.0,0.1,0.675,0.069,49034725.375,6341000000.0,4058250000.0,0.014,0.0,0.256,0.359
4536.0,26.0,2869.0,3057453461.0,0.069,45.0,0.031,0.22649999999999998,75.0,68.0,0.0,0.656,0.125,4418300.0,107000000.0,129000000.0,0.012,0.0,0.219,0.526
40465.0,26.0,13392.0,171668164083.0,0.061,193.0,0.02,0.095,84.0,78.0,0.8,0.717,0.11,6665000.0,6341000000.0,4058250000.0,0.008,0.3,0.173,1.0
103049.5,26.0,46913.625,221375013581.25,0.043,20.0,0.067,0.123,63.0,61.0,0.0,0.614,0.044,49034725.375,3598000000.0,3686000000.0,0.026,0.0,0.342,0.277
103049.5,26.0,46913.625,165021012262.0,0.02,15.0,0.041,0.185,69.0,65.0,0.0,0.647,0.047,49034725.375,4975000000.0,3197000000.0,0.022,0.0,0.307,0.42
103049.5,26.0,46913.625,221375013581.25,0.076,1291.125,0.003,0.021,85.0,78.0,0.5,0.682,0.172,49034725.375,5970000000.0,4058250000.0,0.009,0.3,0.146,0.786
103049.5,26.0,35679.0,18291990619.0,0.042,52.0,0.038,0.12,71.0,60.0,0.0,0.655,0.068,14883626.0,403000000.0,483000000.0,0.015,0.0,0.277,0.557
76699.0,26.0,19717.0,15079752557.5,0.061,193.0,0.045,0.12,69.0,61.0,0.5,0.681,0.059,22840225.0,688500000.0,456000000.0,0.018,0.1,0.26,0.594
103049.5,26.0,46913.625,221375013581.25,0.043,491.0,0.005,0.085,80.0,72.0,0.6,0.717,0.073,47008111.0,6341000000.0,4058250000.0,0.013,0.4,0.21,0.796
4529.0,26.0,2317.0,1369691955.0,0.047,13.0,0.042,0.22649999999999998,72.0,65.0,0.0,0.596,0.055,4898400.0,20000000.0,28000000.0,0.02,0.0,0.35,0.353
972.0,26.0,14338.0,1731198022.0,0.033,11.0,0.083,0.22649999999999998,63.0,60.0,0.0,0.529,0.036,5388281.0,114000000.0,8000000.0,0.031,0.0,0.435,0.22
1635.0,26.0,14338.0,6101794939.0,0.061,193.0,0.02,0.099,80.0,75.0,0.3,0.698,0.074,431907.0,3205000000.0,456000000.0,0.009,0.1,0.228,1.0
103049.5,26.0,46913.625,93789473684.0,0.03,120.0,0.009,0.077,75.0,71.0,0.2,0.628,0.038,23420751.0,5873000000.0,2543000000.0,0.023,0.2,0.333,0.62
499.0,26.0,14338.0,624337144.0,0.071,162.0,0.035,0.13,70.0,69.0,0.0,0.549,0.038,272745.0,321000000.0,60000000.0,0.025,0.0,0.413,0.277
7506.0,26.0,2397.0,1136896162.0,0.047,22.0,0.049,0.22649999999999998,66.0,60.0,0.1,0.615,0.037,2397473.0,43000000.0,54000000.0,0.019,0.0,0.348,0.571
10088.0,26.0,12841.0,15079752557.5,0.021,3.0,0.059,0.153,64.0,60.0,0.0,0.645,0.047,48453000.0,195000000.0,30000000.0,0.021,0.1,0.307,0.27
3234.0,26.0,8108.0,5494252208.0,0.05,12.0,0.06,0.095,63.0,61.0,0.0,0.558,0.038,23184177.0,219000000.0,109000000.0,0.033,0.0,0.404,0.134
103049.5,26.0,46913.625,73952374970.0,0.03,15.0,0.088,0.12,65.0,63.0,0.0,0.546,0.039,49034725.375,551000000.0,574000000.0,0.031,0.1,0.415,0.332
73307.0,26.0,39872.0,81026294681.0,0.032,33.0,0.03,0.109,70.0,64.0,0.1,0.583,0.032,49034725.375,2334000000.0,1841000000.0,0.03,0.0,0.385,0.48
49006.0,26.0,18692.0,95835970989.0,0.027,662.0,0.003,0.058,80.0,76.0,0.7,0.712,0.073,4027900.0,5142000000.0,4058250000.0,0.012,0.4,0.215,1.0
10161.0,26.0,8327.0,16330810304.0,0.037,32.0,0.014,0.162,75.0,68.0,0.0,0.669,0.063,19102000.0,388000000.0,383000000.0,0.018,0.0,0.269,0.184
2237.0,26.0,2149.0,860550294.0,0.046,6.0,0.075,0.22649999999999998,68.0,60.0,0.0,0.536,0.035,6186152.0,688500000.0,456000000.0,0.03,0.0,0.429,0.265
103049.5,26.0,46913.625,122725247706.0,0.034,67.0,0.019,0.078,75.0,67.0,0.0,0.693,0.066,49034725.375,6341000000.0,3218000000.0,0.015,0.0,0.242,0.314
8529.0,26.0,14338.0,350100000.0,0.051,19.0,0.084,0.12,61.0,58.0,0.5,0.479,0.024,853585.0,688500000.0,456000000.0,0.043,0.1,0.498,0.243
35365.0,26.0,14871.0,2904662605.0,0.039,44.0,0.066,0.12,68.0,60.0,0.0,0.594,0.043,4501419.0,688500000.0,456000000.0,0.024,0.0,0.363,0.459
103049.5,26.0,46913.625,13760374488.0,0.053,29.0,0.053,0.12,70.0,64.0,0.0,0.584,0.043,24650400.0,63000000.0,456000000.0,0.021,0.0,0.373,0.374
53645.0,26.0,28736.0,33640085728.0,0.053,20.0,0.027,0.106,78.0,69.0,0.0,0.62,0.064,49034725.375,688500000.0,456000000.0,0.017,0.0,0.316,0.244
3022.0,26.0,1763.0,3686649387.0,0.064,70.0,0.023,0.221,77.0,71.0,0.0,0.628,0.068,3089027.0,398000000.0,290000000.0,0.019,0.0,0.303,0.417
